Field,row,NUMBERI,REDSHIFT,LSIGMA_COR,E_LSIGMA,CN3883_COR,E_CN3883,D4000_COR,E_D4000,LC4668_COR,E_LC4668,LMGB_COR,E_LMGB,row,NUMBERI,EWOII,E_EWOII,lHzetaA_cor,e_lHzetaA,lHdgA_cor,e_lHdgA,LFE4383_COR,E_LFE4383,LHBETAEM_COR,E_LHBETAEM,LFE_COR,E_LFE
MS0451p6m0305,1,220,0.8259,2.248,0.042,0.103,0.005,1.558,0.003,,,,,1,220,5.9,0.6,0.503,0.016,0.054,0.004,0.239,0.087,,,,
MS0451p6m0305,2,234,0.3554,2.182,0.055,,,,,,0.073,0.236,0.027,2,234,,,1.011,0.434,0.020,0.003,0.288,0.086,,0.004,0.018,0.039
MS0451p6m0305,3,323,0.5891,2.287,0.036,0.263,0.005,2.132,0.003,0.885,0.008,0.656,0.006,3,323,,,0.313,0.024,-0.051,0.002,0.666,0.011,0.411,0.006,0.416,0.012
MS0451p6m0305,4,386,0.8849,2.230,0.057,0.191,0.017,2.012,0.012,,,,,4,386,,,0.200,0.141,,,,,,,,
MS0451p6m0305,5,468,1.1792,2.210,0.048,0.061,0.008,,,,,,,5,468,12.3,1.2,0.567,0.023,,,,,,,,
MS0451p6m0305,6,606,0.5684,2.124,0.048,0.130,0.007,1.894,0.004,0.813,0.017,0.504,0.015,6,606,,,0.222,0.047,-0.038,0.003,0.528,0.026,0.512,0.007,0.417,0.019
MS0451p6m0305,7,833,0.9496,2.205,0.075,0.259,0.015,1.995,0.010,,,,,7,833,,,0.271,0.085,,,0.515,0.099,,,,
MS0451p6m0305,8,836,0.3676,2.144,0.060,,,,,0.333,0.090,-0.155,0.102,8,836,,,0.188,0.096,0.022,0.005,0.267,0.079,,0.006,-0.128,0.115
MS0451p6m0305,9,901,1.0656,2.454,0.022,0.051,0.002,1.681,0.002,,,,,9,901,13.2,0.2,0.767,0.004,,,,,,,,
MS0451p6m0305,10,1584,0.9546,2.331,0.118,0.212,0.017,2.072,0.012,,,,,10,1584,,,0.383,0.079,,,1.065,0.025,,,,
MS0451p6m0305,11,2032,0.5114,2.186,0.043,,,1.098,0.002,0.377,0.038,-0.102,0.091,11,2032,59.5,0.9,0.157,0.029,-0.085,0.002,-0.305,0.106,,0.002,-1.251,1.225
MS0451p6m0305,12,2230,0.9199,2.059,0.088,0.155,0.011,2.118,0.008,,,,,12,2230,,,0.334,0.053,,,,,,,,
MS0451p6m0305,13,2257,0,,,,,,,,,,,13,2257,,,,,,,,,,,,
MS0451p6m0305,14,2491,0.9192,2.158,0.071,0.124,0.007,1.840,0.004,,,,,14,2491,11.9,1.5,0.430,0.025,0.001,0.004,,,,,,
MS0451p6m0305,15,2561,1.0493,2.124,0.154,,,1.648,0.008,,,,,15,2561,,,,-0.116,,,,,,,,
MS0451p6m0305,16,2657,0.5787,2.119,0.044,0.112,0.008,1.498,0.004,0.621,0.038,0.323,0.034,16,2657,,,0.585,0.020,0.043,0.004,0.531,0.039,0.139,0.029,,
MS0451p6m0305,17,2748,0,,,,,,,,,,,17,2748,,,,,,,,,,,,
MS0451p6m0305,18,3005,0.9193,2.247,0.050,0.217,0.007,2.205,0.006,,,,,18,3005,,,0.094,0.070,-0.075,0.004,,,,,,
MS0451p6m0305,19,3521,0.4912,2.061,0.062,,,,,0.726,0.021,0.470,0.020,19,3521,,,1.001,0.434,,,0.335,0.048,0.066,0.027,0.373,0.026
MS0451p6m0305,20,3610,0.5663,2.122,0.141,,,1.185,0.004,,0.429,0.507,0.036,20,3610,53.1,7.9,0.156,0.063,0.012,0.005,0.008,0.132,,0.007,,
MS0451p6m0305,21,3625,0.9489,2.379,0.064,0.290,0.009,2.232,0.007,,,,,21,3625,,,0.165,0.070,,,0.580,0.041,,,,
MS0451p6m0305,22,3635,0.7668,2.097,0.063,0.085,0.019,2.009,0.014,,,,,22,3635,,,,-0.432,,,,,0.220,0.069,,
MS0451p6m0305,23,3663,0,,,,,,,,,,,23,3663,,,,,,,,,,,,
MS0451p6m0305,24,3697,0.5674,2.072,0.141,,,1.455,0.007,0.258,0.205,0.370,0.067,24,3697,36.0,5.8,0.494,0.043,0.071,0.007,0.394,0.104,,,,
MS0451p6m0305,25,3792,0.8996,2.407,0.105,,,1.551,0.007,,,,,25,3792,19.7,0.8,0.269,0.077,,,,,,,,
MS0451p6m0305,26,3906,1.2846,,,,,,,,,,,26,3906,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXJ052p7m1357,1,103,0.6406,1.934,0.053,,,,,-0.329,0.402,0.397,0.039,1,103,,,1.004,0.434,,,0.454,0.049,0.308,0.027,0.383,0.073
RXJ052p7m1357,2,155,0.9955,1.446,0.109,0.085,0.011,1.831,0.007,,0.038,0.409,0.703,2,155,5.6,0.7,0.600,0.030,0.106,0.006,,0.071,,0.037,,0.168
RXJ052p7m1357,3,193,0.4562,1.844,0.033,0.052,0.015,1.775,0.008,0.517,0.050,0.547,0.020,3,193,7.5,1.8,0.563,0.036,-0.009,0.005,0.708,0.029,0.111,0.028,0.292,0.072
RXJ052p7m1357,4,264,0.5341,2.035,0.070,0.127,0.021,1.879,0.012,0.861,0.028,0.650,0.029,4,264,11.4,3.2,0.315,0.107,-0.051,0.007,-0.085,0.249,0.254,0.030,0.431,0.058
RXJ052p7m1357,5,460,0.8649,2.268,0.032,0.173,0.004,1.923,0.002,0.742,0.020,0.594,0.025,5,460,,,0.322,0.020,-0.010,0.002,0.444,0.023,0.416,0.009,0.231,0.181
RXJ052p7m1357,6,1245,0.7875,1.679,0.093,0.056,0.009,1.484,0.005,-0.134,0.491,,0.429,6,1245,9.4,1.0,0.581,0.023,0.088,0.006,0.408,0.104,,0.041,0.833,0.068
RXJ052p7m1357,7,1494,0.2374,1.930,0.018,,,,,,,0.540,0.003,7,1494,,,1.001,0.434,,,,,,,0.425,0.007
RXJ052p7m1357,8,1838,0.745,1.980,0.065,0.034,0.000,1.215,0.003,0.749,0.044,,0.086,8,1838,,,0.563,0.015,0.100,0.004,,0.491,,0.029,0.840,0.048
RXJ052p7m1357,9,1896,0.981,1.847,0.039,0.165,0.010,2.216,0.008,,0.113,0.851,0.276,9,1896,,,0.178,0.078,0.016,0.005,0.698,0.038,0.514,0.035,,0.163
RXJ052p7m1357,10,1970,0.3775,1.960,0.067,,,,,0.084,0.205,0.263,0.045,10,1970,,,0.545,0.052,0.155,0.008,0.066,0.204,,0.015,0.234,0.108
RXJ052p7m1357,11,2042,0.2362,2.033,0.088,,,,,,,-0.296,0.227,11,2042,,,1.003,0.434,,,,,,0.410,0.542,0.047
RXJ052p7m1357,12,2087,0.332,2.080,0.039,,,,,,,,,12,2087,,,1.008,0.434,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXJ1226p9p3332,1,18,0.7557,2.217,0.029,0.211,0.009,2.075,0.006,,,,,1,18,4.9,0.8,,,-0.026,0.004,0.512,0.053,,,,
RXJ1226p9p3332,2,53,1.236,,,,,,,,,,,2,53,13.0,1.8,,,,,,,,,,
RXJ1226p9p3332,3,91,0.9744,2.223,0.127,,,1.496,0.007,,,,,3,91,78.8,18.0,0.364,0.060,,,,,,,,
RXJ1226p9p3332,4,132,0.6793,2.198,0.049,,,,,0.875,0.013,0.605,0.011,4,132,,,1.007,0.434,,,0.510,0.022,0.309,0.008,0.380,0.041
RXJ1226p9p3332,5,138,0.7136,2.127,0.034,0.172,0.006,1.958,0.004,0.690,0.032,,,5,138,2.1,0.2,,,-0.012,0.003,0.715,0.020,0.486,0.014,,
RXJ1226p9p3332,6,153,1.975,,,,,,,,,,,6,153,,,,,,,,,,,,
RXJ1226p9p3332,7,154,0.6797,2.117,0.072,,,,,,,,,7,154,,,,,-0.038,0.010,0.238,0.234,,,,
RXJ1226p9p3332,8,178,0.097,,,,,,,,,,,8,178,,,,,,,,,,,,
RXJ1226p9p3332,9,185,0.6868,2.241,0.055,0.279,0.013,2.271,0.009,0.750,0.043,,,9,185,4.8,0.9,,,,,,,,,,
RXJ1226p9p3332,10,203,0.8403,2.431,0.109,0.106,0.009,1.390,0.005,,,,,10,203,14.1,1.5,,,,,,,,,,
RXJ1226p9p3332,11,220,0.6882,2.130,0.042,0.258,0.009,2.083,0.006,0.468,0.070,,,11,220,,,,,,,0.670,0.025,,,,
RXJ1226p9p3332,12,245,0.9748,2.108,0.045,0.286,0.005,1.941,0.004,,,,,12,245,,,,,,,,,,,,
RXJ1226p9p3332,13,247,0.3849,1.908,0.035,,,,,,,0.366,0.008,13,247,,,1.002,0.434,,,,,,,0.310,0.020
RXJ1226p9p3332,14,249,0.5003,2.371,0.060,,,,,0.101,0.135,0.328,0.052,14,249,,,1.029,0.434,,,,,,0.008,0.439,0.075
RXJ1226p9p3332,15,297,0.845,,,,,,,,,,,15,297,,,,,,,,,,,,
RXJ1226p9p3332,16,316,0.7315,,,,,,,,,,,16,316,,,,,,,,,,,,
RXJ1226p9p3332,17,329,0.5883,2.046,0.072,,,,,0.083,0.156,0.263,0.042,17,329,,,1.007,0.434,0.072,0.003,-0.040,0.147,,0.021,0.313,0.098
RXJ1226p9p3332,18,333,0.7146,1.799,0.056,0.087,0.012,1.310,0.005,-0.099,0.725,,0.068,18,333,43.6,1.0,0.724,0.018,0.046,0.008,-0.552,1.341,,0.078,0.474,0.120
RXJ1226p9p3332,19,347,0.3682,2.009,0.020,,,,,0.240,0.035,0.282,0.012,19,347,,,1.006,0.434,0.086,0.002,-0.060,0.065,,0.004,-0.208,0.083
RXJ1226p9p3332,20,349,0.6871,2.011,0.070,0.196,0.008,1.951,0.005,0.723,0.041,,,20,349,,,,,0.008,0.004,0.262,0.069,,,,
RXJ1226p9p3332,21,359,0.7026,2.101,0.133,0.095,0.012,1.574,0.006,,,,,21,359,28.7,0.9,,,0.100,0.007,0.518,0.085,,,,
RXJ1226p9p3332,22,374,0.3394,2.142,0.093,,,0.929,0.015,0.353,0.179,0.509,0.045,22,374,,,,,0.045,0.012,0.585,0.104,,0.073,0.105,0.173
RXJ1226p9p3332,23,386,0.9895,2.324,0.059,,,1.442,0.007,,,,,23,386,47.1,2.3,,,,,,,,,,
RXJ1226p9p3332,24,408,0.989,2.120,0.036,0.138,0.005,1.936,0.003,,0.082,1.596,-0.002,24,408,,,0.597,0.011,0.072,0.002,0.436,0.041,0.374,0.030,,0.072
RXJ1226p9p3332,25,499,0.7326,2.230,0.122,,,2.006,0.015,,,,,25,499,,,,,,,,,,,,
RXJ1226p9p3332,26,500,0.401,2.091,0.055,,,,,-0.450,0.986,0.484,0.045,26,500,,,,,,,0.308,0.168,0.331,0.034,0.465,0.073
RXJ1226p9p3332,27,523,0.9297,2.278,0.048,0.201,0.013,2.211,0.009,0.760,0.054,,9.420,27,523,,,-0.074,0.166,-0.021,0.006,0.417,0.081,0.694,0.030,1.804,0.109
RXJ1226p9p3332,28,527,1.128,,,,,,,,,,,28,527,46.1,12.9,,,,,,,,,,
RXJ1226p9p3332,29,572,0.4993,2.103,0.060,0.128,0.015,1.865,0.009,0.321,0.084,0.613,0.026,29,572,,,0.613,0.035,0.079,0.005,0.508,0.051,0.559,0.014,0.309,0.097
RXJ1226p9p3332,30,649,0.9254,2.324,0.076,,,1.873,0.008,,,,,30,649,,,,,,,,,,,,
RXJ1226p9p3332,31,656,0.9293,2.339,0.043,0.176,0.011,2.077,0.008,,,,,31,656,13.4,3.2,,,,,,,,,,
RXJ1226p9p3332,32,685,1.0179,,,,,,,,,,,32,685,,,,,,,,,,,,
RXJ1226p9p3332,33,739,1.0556,2.071,0.070,0.262,0.020,2.279,0.015,,,,,33,739,15.8,5.6,,,,,,,,,,
RXJ1226p9p3332,34,754,3.2,,,,,,,,,,,34,754,,,,,,,,,,,,
RXJ1226p9p3332,35,781,0.7668,1.981,0.057,,,,,,,,,35,781,,,,,0.042,0.004,0.183,0.117,,,,
RXJ1226p9p3332,36,798,0.9636,2.129,0.195,,,1.597,0.004,,0.078,,-0.240,36,798,17.6,1.6,0.029,0.070,-0.094,0.004,-0.193,0.264,,0.073,1.658,0.099
RXJ1226p9p3332,37,805,0.6276,2.175,0.066,,,1.648,0.009,,,0.251,0.130,37,805,10.4,0.8,,,0.072,0.007,,,,,,
RXJ1226p9p3332,38,824,0.4251,2.057,0.063,0.033,0.024,1.514,0.011,,,0.410,0.049,38,824,25.3,2.4,,,0.069,0.008,0.231,0.168,,0.032,0.223,0.128
RXJ1226p9p3332,39,841,0.3556,2.125,0.167,,,1.458,0.016,0.181,0.225,0.211,0.073,39,841,,,,,0.067,0.009,0.686,0.062,,0.018,0.372,0.088
RXJ1226p9p3332,40,861,0.4208,2.119,0.107,0.085,0.031,1.357,0.014,,,0.386,0.069,40,861,18.5,6.0,,,-0.010,0.012,0.612,0.077,,0.065,0.664,0.049
RXJ1226p9p3332,41,863,0.7144,1.832,0.036,0.128,0.007,1.893,0.004,0.562,0.040,0.054,0.094,41,863,7.0,1.2,0.384,0.026,0.023,0.003,0.661,0.022,0.002,0.042,0.068,0.096
RXJ1226p9p3332,42,872,0.4967,2.221,0.093,,,,,0.322,0.313,0.324,0.225,42,872,,,1.015,0.434,,,,,,0.034,0.817,0.144
RXJ1226p9p3332,43,907,0.7671,,,,,,,,,,,43,907,26.5,2.6,,,,,,,,,,
RXJ1226p9p3332,44,928,0.3389,2.038,0.041,0.360,0.017,2.336,0.010,0.546,0.022,0.487,0.009,44,928,,,0.245,0.072,0.035,0.003,0.349,0.038,0.179,0.011,0.369,0.016
RXJ1226p9p3332,45,933,0.9645,2.046,0.056,0.096,0.014,2.118,0.010,,,,-0.115,45,933,,,0.397,0.060,-0.046,0.007,0.738,0.053,0.629,0.042,,0.160
RXJ1226p9p3332,46,934,0.4479,2.082,0.071,,,,,-0.274,0.529,-0.069,0.172,46,934,,,,,,,0.224,0.154,,0.068,,
RXJ1226p9p3332,47,960,0.7981,2.133,0.109,,,1.472,0.006,,,,,47,960,14.9,0.8,,,,,,,,,,
RXJ1226p9p3332,48,968,0.968,2.327,0.044,0.185,0.006,2.045,0.004,,,,-0.048,48,968,,,0.471,0.020,-0.005,0.003,0.591,0.037,0.247,0.046,,0.118
RXJ1226p9p3332,49,982,0.0604,,,,,,,,,,,49,982,,,,,,,,,,,,
RXJ1226p9p3332,50,995,0.9611,2.050,0.058,0.104,0.003,1.736,0.002,,,1.285,0.038,50,995,,,0.763,0.004,0.225,0.002,0.061,0.084,0.686,0.009,,0.161
RXJ1226p9p3332,51,1001,0.3377,2.202,0.097,,,,,0.747,0.109,-1.202,4.334,51,1001,,,,,0.054,0.016,-0.319,1.340,,0.040,0.544,0.104
RXJ1226p9p3332,52,1027,1.0588,1.978,0.158,,,1.357,0.010,,,,,52,1027,-8.7,1.9,,,,,,,,,,
RXJ1226p9p3332,53,1029,0.23,,,,,,,,,,,53,1029,,,,,,,,,,,,
RXJ1226p9p3332,54,1042,0.7028,,,,,,,,,,,54,1042,55.5,40.9,,,,,,,,,,
RXJ1226p9p3332,55,1057,1.181,,,,,,,,,,,55,1057,23.1,4.1,,,,,,,,,,
RXJ1226p9p3332,56,1080,0.5303,2.115,0.101,,,1.212,0.003,,,0.135,0.092,56,1080,68.7,30.4,0.547,0.020,-0.012,0.003,-0.070,0.130,,0.007,-0.192,0.252
RXJ1226p9p3332,57,1083,0.5341,2.142,0.091,,,,,,,0.346,0.053,57,1083,,,1.011,0.434,,,,,,0.008,-0.095,0.193
RXJ1226p9p3332,58,1103,0.7028,2.012,0.254,,,1.500,0.006,,,0.123,0.182,58,1103,20.1,4.0,0.482,0.038,0.050,0.007,-0.279,0.655,,0.044,0.371,0.130
RXJ1226p9p3332,59,1157,0.7669,2.009,0.164,0.116,0.018,1.393,0.009,,,0.459,0.143,59,1157,20.6,1.8,0.628,0.044,0.068,0.013,,1.356,,0.043,,38.637
RXJ1226p9p3332,60,1175,0.9304,2.246,0.051,0.190,0.003,1.962,0.002,0.804,0.015,0.400,0.154,60,1175,,,0.477,0.011,0.028,0.002,0.082,0.057,0.473,0.015,1.416,0.034
RXJ1226p9p3332,61,1182,0.734,,,,,,,,,,,61,1182,,,,,,,,,,,,
RXJ1226p9p3332,62,1196,0.9438,,,,,,,,,,,62,1196,28.7,3.8,,,,,,,,,,
RXJ1226p9p3332,63,1253,1.06,,,,,,,,,,,63,1253,,,,,,,,,,,,
RXJ1226p9p3332,64,1254,1.1236,2.218,0.096,,,,,,,,,64,1254,5.5,0.2,,,,,,,,,,
